FEN,BestMove,PieceCount,ThreatCount,PawnStructure,Score
rnb1kbnr/ppqpp1p1/2p2pNp/8/P7/8/1PPPPPPP/RNBQKB1R,b1c3,32,0,0,415
rnb1kbnr/p1qpp1p1/1pp2pNp/8/P7/2N5/1PPPPPPP/R1BQKB1R,e2e4,32,0,0,470
rnb1kbn1/p1qpp1pr/1pp2pNp/8/P3P3/2N5/1PPP1PPP/R1BQKB1R,d2d4,32,0,0,470
rnbqkbn1/p2pp1pr/1pp2pNp/8/P2PP3/2N5/1PP2PPP/R1BQKB1R,f1c4,32,1,0,495
rnbqkbn1/p2pp1pr/1pp2pN1/7p/P1BPP3/2N5/1PP2PPP/R1BQK2R,c4g8,32,1,0,955
rnbqkbB1/3pp1pr/1pp2pN1/p6p/P2PP3/2N5/1PP2PPP/R1BQK2R,e1g1,31,1,0,990
1nbqkbB1/r2pp1pr/1pp2pN1/p6p/P2PP3/2N5/1PP2PPP/R1BQ1RK1,c1f4,31,1,0,1015
1n1qkbB1/r2pp1pr/bpp2pN1/p6p/P2PPB2/2N5/1PP2PPP/R2Q1RK1,f1e1,31,1,0,1020
1nq1kbB1/r2pp1pr/bpp2pN1/p6p/P2PPB2/2N5/1PP2PPP/R2QR1K1,g6f8,31,1,0,1065
1nq1kNB1/r2pp2r/bpp2pp1/p6p/P2PPB2/2N5/1PP2PPP/R2QR1K1,f8h7,30,1,0,1470
1nqk2B1/r2pp2N/bpp2pp1/p6p/P2PPB2/2N5/1PP2PPP/R2QR1K1,d1f3,29,1,0,1480
1nq1k1B1/r2pp2N/bpp2pp1/p6p/P2PPB2/2N2Q2/1PP2PPP/R3R1K1,a1d1,29,1,0,1485
1nqk2B1/r2pp2N/bpp2pp1/p6p/P2PPB2/2N2Q2/1PP2PPP/3RR1K1,d4d5,29,1,0,1490
1nq1k1B1/r2pp2N/bpp2pp1/p2P3p/P3PB2/2N2Q2/1PP2PPP/3RR1K1,f4g3,29,1,0,1490
1nqk2B1/r2pp2N/bpp2pp1/p2P3p/P3P3/2N2QB1/1PP2PPP/3RR1K1,g3f4,29,1,0,1490
1nq1k1B1/r2pp2N/bpp2pp1/p2P3p/P3PB2/2N2Q2/1PP2PPP/3RR1K1,f4g3,29,1,0,1490
rnbqkbnr/pp1p3p/2p1ppp1/8/5N2/6P1/PPPPPP1P/RNBQKBR1,b1c3,32,1,0,180
rnbqkbnr/p2p3p/1pp1ppp1/8/5N2/2N3P1/PPPPPP1P/R1BQKBR1,e2e4,32,1,0,235
rnbqkbnr/p2p4/1pp1ppp1/7p/4PN2/2N3P1/PPPP1P1P/R1BQKBR1,d2d4,32,1,0,280
rnbqkbn1/p2p3r/1pp1ppp1/7p/3PPN2/2N3P1/PPP2P1P/R1BQKBR1,f1c4,32,1,0,305
